,text,label
0,it really is not but good to know you will believe any thing someone on the with no founding if it were actually people supporting it our government would actually do something about it but it is old men with money so they get a pass,1
1,indeed i will let us take a teensy fraction of responsibility for some like being some people s first positive imagery of the community the mutual aid-ish and maybe a touch of relationship drama,2
2,actually its not not only have child drag been happening despite with support from the and but they have also taken to people saying that calling out is anti-lgbt somehow they got it in their that those are equal,1
3,government considering repeal of sodomy law along with unspecified to ensure ban on marriage is from court challenge,2
4,on a clear day you can see forever opening night at interesting premise w a clever twist great band nice nostalgic music,2
5,autistic twitter and especially the subset of autistic twitter been a huge boon for me thank you twitter algorithm™ for finally getting something right,2
6,voice why is it always,0
7,do you think there are more people pushing those away just because of different political or do you think there are more people that threaten the validity and safety of in da fandom,1
8,⚧ my one of my favorite about this place been confirmed for me and dialogue with of what to do,2
9,i am for marsh canon,0
10,sticking your in your many support inclusion men telling what is best for them is abuse in any other context all without exception,2
11,i do not have any faith in the democratic party to do the right thing in any situation but it is obvious that the democratic base and will pressure the party to do the same while the republican base and state-level do the opposite,2
12,this dude need 2 apologize just like a bitch would if he said something about the community,1
13,a church of minister quit after growing at the aggressive and opposition to the full inclusion and equality of plus people in the church via,1
14,1 out of 5 are aborted and been a growing issue the been sexually with only a slap on the wrist 2 men who both had a rap sheet for raping,1
15,show me a pro choice r who in gun control equality for all and people universal good public education public health that the wealthy and should pay substantial and i will consider voting for them,2
16,wild seeing a former mutual being like china is so based on like with a bunch of their active genocide in the while praising 🙄,2
17,pi bowie up for and people in s village discover what it is all about in the series at,0
18,i would have a nice writing career in my early 20 s from romantic for s coming out as bisexual in the late 1980 s was tough with clause 28 in ne i do not think the atheist s,2
19,this dude looking 4 trouble and just so he definitely got the right ✅ we will make this nickle will apologize like we the,2
20,in on cooper and i kissing and he said he could not stand the he a,2
21,the first 50 of the article i have just had in can access it for free read why never had the to walk backwards to,2
22,is this pro-nazi anti-lgbt or pro-zionist this literally absolutely zero sense what the actual am i just actually stupid as to not see what the is happening here i feel crazy,1
23,no its not as most normal gay people just want to live there these as they are want to like and the as a shield from criticism its why we are seeing like,2
24,russia s community braces for more persecution as duma propaganda law,1
25,questionably queer asexuality in the plus community,0
26,divorce is a much bigger problem in society than homosexuality and how often do you see or hear social speak out against divorce versus how often do they drone on about,1
27,at least in the us we have media that the government does not control and more than 1 political party also more for,2
28,you really hate people do not you,1
29,two finally meeting,0
30,💗 she said a slur in the description can be very to the s mental health and overall she is a very mean person i have countless of her,2
31,i was fine with there being there needs to be more to show that love no,2
32,do you not understand that pride because people are for being who they are so thank you for pride,2
33,thinking about lit not knowing about people and how my lit class read banana ' s kitchen and my teacher was and confused when i transgender…when the book us she a woman had all the was ' s,1
34,kip it is a great idea to do a little amateur,2
35,what is an ally i thought allies had their own spot in the rainbow flag which would mean most of the rainbow is also straight if you count allies,2
36,this virus is not it is specifically in the community,0
37,a gifted child caught too many and social religious bigotry,0
38,hopefully the force is over this complete waste of police time and watch army veteran for posting on via,1
39,i do not know anything about that community do not rope me in with them,1
40,the are the equivalent of autism for the community an that the vast majority of those they claim to help dislike spread dangerous about the people they claim to help and barely have anyone from the they are for working for them,1
41,plus people often and their time and for ungrateful like you you are unworthy,1
42,he is against a bill that is forcing people to study secular and against the will of their - that does not translate into him being against secular,2
43,red velvet,0
44,alongside all of your incredible that are too many to list i will never forget you wearing a rainbow helmet to get on the podium twice i broke into when i saw your helmet for turkey 20 that so much to me and all and f1 everywhere 3,1
45,yes the flag a symbol for the pride in 1994 but the flag is much older,2
46,it because people are people as a scapegoat to forget that the in charge are this to spread unprecedented,1
47,yet the alphabet put themselves in a position of speaking for all people all progressive have actually,0
48,still over at,2
49,you are completely in this idea of the good old days where a woman ' s place was the home cleaning making plus people were not to exist everyone knew their place no thanks i will take diversity inclusion every day you are a troglodyte 1 2,2
50,it is sad to see the community embrace while support i would have thought the gay community would be standing with their community in rather than 😢,1
51,the center will be the new of • instinct magazine,0
52,meet for love and relationship -,2
53,if this were any other person i would agree with you but chan… is a mockery of anything and will probably send back a few the more common know about him,1
54,support for the 🏳️‍🌈 community,2
55,you are not part of any community do not know what you represent maybe i suspect,1
56,are not only,0
57,is a protector of the ageless from clay by murder s mother to be her companion no one just how tied the of the are to their,1
58,i am sure is going to shut down until a vaccine is available to protect public health and then mandate those 😌,2
59,people encroach on nothing of ours you weird fool people like you however happily work to destroy the of plus and both because you are with you will achieve no lasting victory and history will not recall you well if at all,1
60,the best trio asexual gay,2
61,they are extremely happy and in love they just recently got married the first ever wedding on the soap,2
62,fabulous as ever…🏳️‍🌈🏳️‍⚧️ the abbey food bar - west,2
63,if being sexuality active was the first thing that came to mind when it came to coming out as then that about your dirty ass mind 💀,1
64,evil act shame on,1
65,- they can be pro anti abortion pro anti pro anti but can not be pro anti specific politician or candidate,1
66,i am old enough to remember when people just to be as,0
67,you as a gay man have no issue with supporting where gay people live in fear yet many live openly free in you are easily 😢😢,1
68,thanks for your support sir your plus staff appreciate your supportive stance your over the past few days have across these please keep standing for all our,2
69,being nothing to do with politics,0
70,i would like modern civilization but with less feminism black stuff neo-reactionary we need to all be medieval on the brink of starvation,2
71,faced with s plus community stigma the spread of and its prevalence among gay men is causing fear anger and burning in the united for a,1
72,it is already and because no one in about the you are talking about people are not you it is we all know gay men are hot you can say it no one will judge you,1
73,choosing democracy over a alternative is a thing believing in science voting s and no state religion nationalism and of other is also a thing,1
74,a petition with that could really change for plus people add your name and join them in the fight for plus 🌈,1
75,airplane is know to be a non as you got to love your resistance,2
76,like not only does it just sound amazing but the way it homage to black of the past and present its with so much history so much love made with so much care attention,2
77,can not wait to see the collision of the community and tomorrow at bud light stage,1
