,Cleaned_Text,vader,compound,Vader_Sentiment_Type
0,it really is not but good to know you will believe any thing someone on the with no founding if it were actually people supporting it our government would actually do something about it but it is old men with money so they get a pass,"{'neg': 0.119, 'neu': 0.809, 'pos': 0.072, 'compound': -0.3516}",-0.3516,NEGATIVE
1,indeed i will let us take a teensy fraction of responsibility for some like being some people s first positive imagery of the community the mutual aid-ish and maybe a touch of relationship drama,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7269}",0.7269,POSITIVE
2,actually its not not only have child drag been happening despite with support from the and but they have also taken to people saying that calling out is anti-lgbt somehow they got it in their that those are equal,"{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.2684}",-0.2684,NEGATIVE
3,government considering repeal of sodomy law along with unspecified to ensure ban on marriage is from court challenge,"{'neg': 0.136, 'neu': 0.606, 'pos': 0.258, 'compound': 0.296}",0.296,POSITIVE
4,on a clear day you can see forever opening night at interesting premise w a clever twist great band nice nostalgic music,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.9349}",0.9349,POSITIVE
5,autistic twitter and especially the subset of autistic twitter been a huge boon for me thank you twitter algorithm™ for finally getting something right,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.6884}",0.6884,POSITIVE
6,voice why is it always,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
7,do you think there are more people pushing those away just because of different political or do you think there are more people that threaten the validity and safety of in da fandom,"{'neg': 0.072, 'neu': 0.857, 'pos': 0.071, 'compound': -0.0164}",-0.0164,NEGATIVE
8,⚧ my one of my favorite about this place been confirmed for me and dialogue with of what to do,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4588}",0.4588,POSITIVE
9,i am for marsh canon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
10,sticking your in your many support inclusion men telling what is best for them is abuse in any other context all without exception,"{'neg': 0.103, 'neu': 0.685, 'pos': 0.213, 'compound': 0.5423}",0.5423,POSITIVE
11,i do not have any faith in the democratic party to do the right thing in any situation but it is obvious that the democratic base and will pressure the party to do the same while the republican base and state-level do the opposite,"{'neg': 0.081, 'neu': 0.762, 'pos': 0.157, 'compound': 0.6351}",0.6351,POSITIVE
12,this dude need 2 apologize just like a bitch would if he said something about the community,"{'neg': 0.158, 'neu': 0.667, 'pos': 0.175, 'compound': -0.2942}",-0.2942,NEGATIVE
13,a church of minister quit after growing at the aggressive and opposition to the full inclusion and equality of plus people in the church via,"{'neg': 0.145, 'neu': 0.725, 'pos': 0.13, 'compound': -0.128}",-0.128,NEGATIVE
14,1 out of 5 are aborted and been a growing issue the been sexually with only a slap on the wrist 2 men who both had a rap sheet for raping,"{'neg': 0.238, 'neu': 0.698, 'pos': 0.064, 'compound': -0.9001}",-0.9001,NEGATIVE
15,show me a pro choice r who in gun control equality for all and people universal good public education public health that the wealthy and should pay substantial and i will consider voting for them,"{'neg': 0.079, 'neu': 0.771, 'pos': 0.15, 'compound': 0.5267}",0.5267,POSITIVE
16,wild seeing a former mutual being like china is so based on like with a bunch of their active genocide in the while praising 🙄,"{'neg': 0.049, 'neu': 0.72, 'pos': 0.23, 'compound': 0.8316}",0.8316,POSITIVE
17,pi bowie up for and people in s village discover what it is all about in the series at,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
18,i would have a nice writing career in my early 20 s from romantic for s coming out as bisexual in the late 1980 s was tough with clause 28 in ne i do not think the atheist s,"{'neg': 0.029, 'neu': 0.76, 'pos': 0.211, 'compound': 0.8625}",0.8625,POSITIVE
19,this dude looking 4 trouble and just so he definitely got the right ✅ we will make this nickle will apologize like we the,"{'neg': 0.077, 'neu': 0.711, 'pos': 0.212, 'compound': 0.5786}",0.5786,POSITIVE
20,in on cooper and i kissing and he said he could not stand the he a,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5719}",0.5719,POSITIVE
21,the first 50 of the article i have just had in can access it for free read why never had the to walk backwards to,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.5106}",0.5106,POSITIVE
22,is this pro-nazi anti-lgbt or pro-zionist this literally absolutely zero sense what the actual am i just actually stupid as to not see what the is happening here i feel crazy,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.9153}",-0.9153,NEGATIVE
23,no its not as most normal gay people just want to live there these as they are want to like and the as a shield from criticism its why we are seeing like,"{'neg': 0.061, 'neu': 0.805, 'pos': 0.133, 'compound': 0.34}",0.34,POSITIVE
24,russia s community braces for more persecution as duma propaganda law,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}",-0.25,NEGATIVE
25,questionably queer asexuality in the plus community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
26,divorce is a much bigger problem in society than homosexuality and how often do you see or hear social speak out against divorce versus how often do they drone on about,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.4019}",-0.4019,NEGATIVE
27,at least in the us we have media that the government does not control and more than 1 political party also more for,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.4019}",0.4019,POSITIVE
28,you really hate people do not you,"{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.6115}",-0.6115,NEGATIVE
29,two finally meeting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
30,💗 she said a slur in the description can be very to the s mental health and overall she is a very mean person i have countless of her,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7096}",0.7096,POSITIVE
31,i was fine with there being there needs to be more to show that love no,"{'neg': 0.091, 'neu': 0.661, 'pos': 0.248, 'compound': 0.5859}",0.5859,POSITIVE
32,do you not understand that pride because people are for being who they are so thank you for pride,"{'neg': 0.196, 'neu': 0.569, 'pos': 0.235, 'compound': 0.0786}",0.0786,POSITIVE
33,thinking about lit not knowing about people and how my lit class read banana ’ s kitchen and my teacher was and confused when i transgender…when the book us she a woman had all the was ’ s,"{'neg': 0.093, 'neu': 0.87, 'pos': 0.036, 'compound': -0.4215}",-0.4215,NEGATIVE
34,kip it is a great idea to do a little amateur,"{'neg': 0.123, 'neu': 0.642, 'pos': 0.235, 'compound': 0.4753}",0.4753,POSITIVE
